src,dest,ret_count,tot_count
IL,GA,8464,11402
MT,NE,121,153
MT,NC,159,226
IN,MA,1563,2068
WY,AL,37,46
FL,DE,914,1197
NM,SD,60,93
LA,WA,479,658
MT,NY,203,295
AZ,OK,1109,1461
VT,AR,18,24
IA,WV,96,124
WV,NE,40,58
WI,AZ,1965,2602
PA,MN,2152,2781
KS,NV,534,679
UT,IN,435,600
OR,ID,1992,2634
AR,TN,5099,6963
OR,OK,223,279
NV,ME,55,66
NV,CO,1431,1995
KS,CA,3627,5416
NE,NE,13330,18375
IA,WI,3219,4459
NH,AR,83,119
PA,CA,10179,14733
AL,LA,6130,8941
IL,NC,5757,7745
NJ,MN,1303,1695
DE,LA,193,257
DE,MI,180,249
NE,NY,827,1162
CA,VT,348,436
NV,IA,167,220
SC,OH,2895,3966
AL,NM,562,813
SD,IN,186,259
TX,OK,26810,37723
MT,DE,7,7
OK,MS,948,1225
GA,NM,641,859
OK,NH,72,99
AZ,NV,5968,8296
NV,TX,2479,3610
NM,CA,2821,4299
CA,WI,2475,3231
MO,CT,519,669
WY,ID,469,603
AL,IN,1375,1818
PA,OR,901,1178
OK,AL,1140,1579
GA,IA,1050,1372
NC,NV,1792,2439
AR,VA,829,1107
PA,WY,214,286
SC,ME,418,583
OK,NC,837,1108
MT,CT,30,39
WY,MD,68,94
VT,MI,91,132
WI,WA,1135,1546
WI,WY,222,276
CO,IA,1773,2363
SD,KS,444,617
TN,VA,6420,8964
IA,IN,1842,2497
NC,ID,334,440
NH,IA,87,103
NE,RI,72,85
VA,OK,1064,1412
TN,WI,1582,2250
MO,TX,9166,13136
AR,NJ,462,628
VT,KY,64,88
CT,NM,105,152
TX,PA,9989,13778
PA,UT,1171,1593
TN,PA,3917,5355
CA,UT,8491,11251
TX,ND,983,1296
VT,NM,32,48
WV,SD,24,36
MD,KS,319,409
WV,VA,3219,4671
OK,OR,316,450
OK,VA,1003,1348
ND,LA,72,93
WI,CT,451,602
AL,CA,3471,5337
OR,MN,701,941
AL,NV,519,670
FL,NY,18544,26768
ND,NM,69,83
NM,AL,190,250
LA,CT,131,166
IA,IL,9253,12706
RI,UT,54,69
OR,MS,126,171
DC,LA,436,605
MD,ME,631,835
OH,VT,393,492
NE,IN,723,985
WY,WA,167,262
SD,WA,165,235
WI,GA,3005,4155
IN,WI,3367,4705
SC,NE,288,378
WV,PA,3559,5071
CA,NY,15680,21583
MI,KY,6035,8036
FL,NE,954,1305
SC,NV,655,891
IN,NE,690,900
NJ,MT,103,139
WI,IL,17908,24361
IL,SD,1024,1398
IA,VA,771,1006
OH,NM,630,874
MN,PA,2573,3457
SC,CA,3884,5924
LA,NJ,510,687
NJ,VT,1072,1377
FL,VT,557,750
CO,AR,753,994
WI,NJ,1301,1914
NM,ID,131,154
AR,SC,444,585
NY,AL,1290,1738
MA,AL,619,799
AL,MI,860,1222
OR,LA,380,479
MO,DE,148,201
NY,CT,9972,13081
MO,MT,258,328
GA,PA,6411,8811
WA,WA,37213,52138
IA,MN,7881,10594
AL,AR,1528,2098
RI,CO,157,203
CO,WA,4152,5760
OK,UT,491,660
IL,ME,554,742
IA,OH,1443,1984
NH,ID,44,69
AZ,DE,228,268
CA,CA,294218,445030
MO,NH,192,228
NE,SD,2068,2784
LA,IL,1504,2046
OH,MI,15351,22210
SD,WI,459,666
VT,AZ,103,138
VA,MD,16692,22786
AR,MO,6565,9028
GA,OH,6229,8614
MN,RI,223,285
WY,FL,305,462
AR,WV,96,125
WY,WI,47,57
GA,ND,184,245
NH,OK,114,147
OR,NJ,441,583
NJ,CA,8497,11928
TX,SD,911,1156
AR,ND,63,100
WA,AZ,4043,5298
KS,OR,404,539
OR,MA,680,889
TX,NC,9736,13238
WY,OR,91,110
SD,VA,210,287
IN,UT,667,936
SD,PA,151,207
VA,IN,2507,3420
UT,VA,981,1317
NJ,NV,952,1290
CT,SC,1045,1358
WY,WY,4866,7462
WY,VA,118,144
WA,OK,624,811
MD,OH,3695,4852
CO,OK,2330,3154
MD,PA,15055,20314
TN,SD,276,397
MT,LA,118,163
WI,TX,5109,7297
ME,TN,363,489
ID,VT,21,24
OR,IL,1514,1939
NH,AZ,348,434
MS,NE,165,222
NE,DC,304,384
SD,RI,10,12
NY,ME,2457,3227
FL,FL,257311,407189
ID,CA,3605,5601
TX,DC,4294,5532
OR,KS,191,237
MN,NY,3793,5181
NE,UT,470,636
OH,TN,12325,16503
ID,NV,1100,1474
NE,LA,387,511
VT,MD,212,264
UT,IA,352,484
MT,NJ,129,180
AR,AL,2190,2940
DE,TN,353,475
IA,CT,244,314
MN,SD,4565,6222
FL,WI,2545,3561
MS,AR,2389,3591
OK,CA,3045,4531
MD,RI,576,718
DE,WV,174,217
RI,IA,39,58
WV,VT,36,42
MD,CT,1681,2200
DE,MO,149,195
FL,WY,439,634
NE,NJ,389,516
VT,MT,15,19
CA,VA,6874,8980
TN,UT,1003,1437
PA,CO,2908,3910
MI,CT,853,1138
VT,NH,970,1233
TX,LA,32886,46474
MS,WA,241,348
KY,WV,1726,2520
FL,OR,1508,2061
IA,NE,5792,7827
GA,NY,9872,13593
IA,SD,1798,2414
IA,NC,1231,1618
FL,VA,13788,18765
VA,WI,1207,1593
ID,CT,59,81
CT,AL,343,447
KY,MO,2505,3266
MN,NE,2874,3688
MT,KS,90,117
WA,KS,514,641
LA,IN,438,583
FL,MA,6943,9552
FL,IL,12033,16635
CA,IL,13530,17581
IA,AZ,1234,1687
NV,MT,235,360
MI,WA,1407,1944
UT,DC,412,483
NH,NV,173,230
ND,UT,111,138
WV,FL,1509,2097
MS,MT,58,89
LA,IA,235,318
GA,AZ,3309,4443
SC,IL,2914,4021
OK,CO,2645,3504
OK,WY,385,524
AR,AR,22687,33866
IL,IN,18838,25689
TN,CA,6876,10424
GA,OK,1569,2158
NM,MO,468,592
PA,IA,931,1226
IN,OH,14397,20527
KS,MI,810,1164
MD,NY,10452,14112
NJ,ME,1107,1476
VA,OR,879,1150
ID,FL,793,1091
ND,SD,1393,1948
LA,WI,297,394
MI,NY,5654,7746
SC,NM,310,425
CO,MT,1776,2556
WI,VA,1678,2240
MI,SD,326,402
IL,KS,2994,4003
LA,PA,886,1218
WY,IL,200,268
TX,NJ,6845,9490
CA,IA,1293,1643
UT,SD,228,319
RI,MA,2483,3344
WY,MA,65,81
FL,IA,1359,1767
WI,WI,28832,40002
OK,GA,1435,1992
MN,WA,1839,2506
CA,CO,11751,15473
NM,TN,343,457
NM,WV,31,43
PA,ME,1410,1906
SC,KY,2372,3312
IA,DC,379,473
MT,VA,208,295
WY,SC,29,36
WV,OR,65,89
NE,FL,1954,2832
NJ,IL,5283,6819
NC,NM,630,864
UT,UT,14799,20930
MT,WI,97,122
WV,CO,292,373
VT,ID,10,10
OK,ME,85,114
NV,VT,24,28
WV,WY,32,46
MT,PA,155,204
MD,WA,1209,1620
MN,DE,138,174
AR,OK,4855,6825
MT,RI,19,25
OK,FL,3085,4342
ND,DC,60,66
ID,ME,48,70
NH,VT,1389,1766
MS,DE,40,51
IA,UT,396,526
MO,ID,297,403
KS,AR,1923,2617
IN,AL,2853,3874
LA,VA,1293,1714
MD,NE,325,394
WI,RI,212,265
UT,NC,750,1004
NH,TN,456,588
GA,WA,2545,3505
RI,KS,31,45
MT,IN,109,142
CA,KY,1774,2282
ME,IA,64,82
PA,KY,3220,4357
MI,DC,1159,1466
GA,MD,4282,5703
NV,CA,17153,27772
WI,NC,2170,2922
PA,TX,9381,13311
ID,IL,631,826
TX,FL,33463,48109
NC,AR,1589,2120
LA,NC,1266,1732
SC,IN,1513,2106
NY,SC,4004,5203
DC,VT,85,113
AZ,NM,5042,6949
CA,TX,25396,34912
WI,NE,1219,1584
MN,MD,1243,1584
NJ,KS,364,517
NV,NV,5109,7360
IA,DE,70,97
NE,VA,723,1051
NE,WI,876,1245
MS,NV,249,340
AZ,LA,1105,1482
IA,MD,499,626
AZ,MI,1062,1444
AL,SD,153,204
MN,AL,779,1051
AZ,AR,551,790
RI,OH,331,450
GA,NH,517,690
OK,MA,486,699
NE,WY,546,762
OK,IL,2055,2695
AZ,NJ,1278,1730
IL,RI,549,738
IN,AZ,1705,2311
LA,DC,616,776
OR,NC,771,1058
SD,MD,104,161
NE,OR,274,351
TX,WI,3583,4989
MD,DE,2426,3114
MO,VT,127,159
WY,ND,148,199
MI,KS,750,989
ID,KS,160,204
NV,CT,113,136
CO,ME,328,415
DE,SD,23,28
NH,CO,438,592
WI,DC,669,808
KY,AR,807,1078
DC,CA,1870,2490
RI,MN,138,175
RI,ND,7,7
TX,DE,750,1046
GA,AR,2146,3001
AL,PA,1564,2164
CO,MN,2838,3760
AL,WI,515,724
NH,MS,71,97
DE,VA,2120,2958
NH,MN,291,380
ME,OR,118,160
IL,MT,441,602
CA,ID,2734,3534
CO,CA,17998,26962
IL,NH,469,592
IA,OK,862,1219
WI,OR,717,976
CO,MS,480,636
AL,VA,3531,4833
NC,CO,3627,4806
NH,CA,1413,1993
KS,NJ,628,847
NE,MD,336,459
WA,CA,21075,31282
NE,NH,79,101
AZ,NY,2997,4201
KY,IA,478,670
NJ,DE,2343,2920
NH,GA,690,912
NY,VT,3455,4410
OH,RI,579,750
SD,SC,87,120
NM,WY,114,169
WY,WV,15,22
VA,LA,2493,3508
CO,FL,7843,11081
CO,GA,2915,3970
MI,AZ,2779,4011
ID,AZ,930,1270
RI,SC,220,289
VA,MI,1896,2528
NH,FL,2162,3047
VA,KY,2845,3816
NV,ND,61,76
NM,CO,3483,4721
CA,MA,6495,8474
CO,NY,4323,5875
NV,OH,549,754
NV,MS,118,159
IL,NV,2292,3113
KS,TX,7097,10531
NV,MN,429,580
MA,VT,3114,3895
VT,SD,10,13
SC,KS,395,535
KY,ME,175,221
DE,RI,96,126
NE,MA,319,418
NJ,RI,1642,2028
VT,TN,151,192
RI,NY,2313,3393
UT,FL,2425,3495
CA,MS,954,1266
NJ,PA,20704,28419
CT,VT,1617,2094
DC,FL,1894,2586
CA,OH,4951,6355
NJ,VA,9843,13131
OH,UT,1510,1993
CA,MN,4255,5418
MA,IA,356,458
FL,MS,4569,6247
SD,FL,570,798
VA,NH,697,907
NJ,ND,54,64
PA,OH,18009,25144
VA,MO,2432,3165
TN,WY,230,326
WV,MA,243,351
UT,MS,151,199
DC,CT,240,306
NJ,IN,1594,2086
KS,NH,74,86
SC,PA,3324,4563
RI,AL,81,113
UT,MN,709,924
NH,KY,189,240
VA,WV,3904,5203
MO,TN,6500,8631
WA,MI,787,1016
CO,MI,1605,2261
NH,NM,70,87
WV,IL,519,690
TX,OR,3417,4617
RI,MS,41,50
GA,MT,385,531
TN,ME,510,718
SC,WI,846,1170
NY,ND,115,145
TN,CO,2772,3775
AL,DC,721,900
CT,UT,347,462
MD,MD,22696,31314
TX,WY,1299,1731
VA,TN,7210,9502
CO,LA,1691,2229
CO,KY,1089,1461
NM,AR,162,213
KS,KY,840,1131
MI,NE,838,1047
ID,NY,451,624
OH,IN,18639,25921
MI,NC,4121,5537
CT,WI,424,537
SC,WA,981,1423
CA,OR,12035,15927
CT,RI,2158,2779
AR,IA,453,593
KS,LA,908,1258
